Study_Hours,Attendance,Assignment_Score,Internal_Marks,Result
1.7,99.3,87.4,59.7,0
4.2,57.1,47.5,87.1,0
2.0,74.9,87.7,60.5,1
8.8,80.9,56.5,83.8,1
6.6,85.1,92.6,43.2,1
4.0,78.0,96.6,85.2,0
1.6,50.5,48.9,50.4,0
3.8,66.3,67.8,79.0,0
3.9,75.9,98.9,71.8,0
7.6,54.4,69.0,95.4,0
6.7,67.5,91.8,60.2,1
9.0,51.7,75.3,39.3,1
5.2,53.9,62.5,36.2,0
2.1,69.8,57.1,88.7,0
7.4,56.6,52.2,69.1,0
7.8,78.4,85.7,85.4,1
6.1,84.5,63.2,50.2,0
7.9,90.0,70.7,57.4,0
5.4,60.0,69.5,37.0,0
5.7,58.4,74.6,97.5,1
4.8,55.2,91.9,78.4,1
1.2,81.8,98.8,95.7,0
2.0,85.3,64.5,52.3,0
1.3,51.6,89.7,74.7,0
6.7,96.8,85.9,79.1,1
3.8,52.6,74.4,55.6,0
5.6,77.1,97.4,90.1,1
9.2,85.5,52.0,96.6,1
3.2,93.5,46.6,92.5,0
4.7,85.7,91.2,83.0,1
7.8,90.1,66.3,53.0,1
3.1,67.0,90.8,53.3,1
1.7,90.7,93.6,97.6,1
3.6,54.0,43.7,35.7,0
2.5,94.7,93.0,81.5,1
9.4,77.4,66.9,80.9,1
8.3,90.9,70.6,75.5,1
6.7,72.6,77.6,99.4,1
8.8,82.2,95.6,55.3,1
8.2,76.3,41.1,57.1,1
2.7,86.6,68.6,40.1,0
9.0,54.1,81.3,63.8,1
5.9,53.0,83.4,52.0,0
8.3,62.4,81.6,57.3,1
9.1,58.0,48.1,89.2,0
3.9,93.6,58.0,95.8,0
2.0,61.0,61.5,47.1,0
3.1,98.8,88.3,59.2,1
4.8,66.8,56.7,95.4,0
8.4,59.1,52.6,39.0,0
8.7,89.5,97.4,41.0,1
1.1,82.9,40.5,45.6,0
5.6,74.9,99.9,73.7,1
4.8,77.8,80.6,44.8,1
3.0,86.0,89.7,97.9,1
2.1,61.4,57.7,64.0,0
4.0,99.8,40.9,67.6,0
9.5,98.7,84.3,51.0,1
3.9,82.5,90.0,65.6,0
5.7,60.0,84.4,78.0,0
7.3,84.0,48.6,83.8,1
4.3,53.6,85.2,84.0,1
9.7,51.5,86.1,72.6,1
9.7,62.9,79.5,93.8,1
3.3,73.1,86.0,88.1,1
5.5,93.4,90.8,84.2,1
3.7,86.4,76.8,38.6,1
3.6,87.1,45.3,35.4,0
1.3,71.3,69.3,48.8,0
6.5,67.3,44.7,78.1,0
5.5,68.6,64.5,61.7,0
1.5,99.4,64.4,61.2,0
3.5,52.0,44.0,92.5,0
9.2,93.4,60.9,93.2,1
3.2,78.9,46.7,94.1,0
2.3,71.9,88.5,55.4,0
5.4,86.3,96.9,79.9,1
9.9,74.3,44.3,52.7,0
3.2,93.7,97.3,47.4,0
7.0,95.0,71.4,47.0,1
7.9,71.1,58.0,57.2,1
3.1,63.8,44.6,62.9,0
7.6,79.6,70.0,89.0,1
4.3,95.6,87.7,42.8,0
6.7,60.5,82.4,82.8,0
6.7,81.1,43.0,69.5,1
5.8,81.6,44.4,53.7,0
1.8,86.7,64.2,67.0,1
8.5,56.6,57.7,54.5,1
3.9,85.8,53.9,73.7,0
2.7,95.5,56.9,63.2,0
1.4,59.0,88.2,45.7,0
6.3,61.9,95.8,42.6,0
7.1,98.6,64.3,70.5,1
1.1,59.0,94.4,93.7,0
5.6,92.7,59.3,57.4,0
3.0,74.6,68.6,82.6,1
6.8,62.4,53.6,77.8,0
2.6,93.5,78.4,95.6,1
7.2,72.3,98.7,88.4,1
4.5,75.7,76.2,71.8,1
9.4,68.0,61.5,77.7,1
2.2,79.6,78.9,93.4,0
4.1,58.2,47.4,61.0,0
2.0,69.6,93.3,56.2,0
9.3,98.5,70.2,35.7,1
8.9,62.9,67.0,88.7,1
3.3,82.8,75.2,87.1,1
6.9,66.3,77.5,41.8,0
8.4,88.7,44.3,72.5,1
6.0,56.5,81.0,65.2,0
5.8,98.5,54.5,42.7,0
3.2,72.7,82.8,98.7,1
1.8,61.8,89.4,49.0,0
9.1,53.7,88.2,39.4,0
9.1,58.5,73.2,73.7,1
6.7,76.0,71.2,83.0,1
4.1,66.9,48.6,37.1,1
4.1,91.4,86.5,77.8,0
7.5,71.5,56.3,69.6,1
9.1,62.4,69.8,41.7,0
9.0,80.9,57.1,46.2,1
8.0,85.3,48.0,71.9,0
6.8,58.4,77.8,54.3,1
1.8,58.4,43.3,96.0,0
2.5,51.8,84.9,88.2,0
9.1,86.8,59.1,98.9,1
6.5,83.2,40.0,51.9,0
1.1,73.7,70.7,98.0,0
1.9,92.2,42.8,63.0,0
7.0,90.3,56.6,57.6,1
1.0,79.3,82.4,38.3,0
2.4,93.4,43.8,38.4,0
5.9,60.3,90.4,80.0,1
7.2,55.6,40.2,64.8,0
6.9,63.5,54.8,49.7,0
3.0,52.9,84.5,74.9,0
7.4,76.6,59.0,51.4,0
3.1,96.8,46.1,72.5,0
3.9,52.0,61.6,58.3,0
7.7,56.1,56.2,88.5,1
6.8,72.6,90.6,88.3,0
8.6,96.7,58.8,66.0,1
6.9,65.8,87.3,57.8,0
6.1,75.4,93.5,58.6,1
1.8,52.1,66.0,87.4,0
4.3,57.4,94.6,56.3,0
3.4,99.3,62.6,48.6,0
3.2,98.3,97.8,40.5,1
9.8,50.2,45.4,65.3,0
4.5,97.6,81.2,66.3,0
9.0,82.0,69.6,89.7,1
6.7,93.4,63.3,49.4,1
8.2,72.7,78.0,59.8,1
5.5,75.8,82.2,87.5,1
6.2,74.4,40.3,88.5,1
5.4,83.3,50.0,60.0,0
2.8,57.0,82.8,64.8,0
7.5,51.5,80.0,54.7,1
3.5,65.4,98.0,95.6,0
1.2,85.2,85.7,42.7,0
6.8,60.1,97.0,95.7,1
2.6,83.7,82.2,79.5,0
9.5,98.5,57.9,69.6,1
9.6,54.7,46.3,37.1,0
9.2,83.6,86.9,65.9,1
4.3,72.2,78.6,61.5,0
1.1,93.4,42.9,45.5,0
9.4,58.9,61.6,77.7,0
4.9,84.6,97.4,98.1,1
9.7,91.9,70.0,71.5,1
9.7,97.2,66.0,81.5,1
8.7,84.2,67.5,39.4,1
3.7,74.9,52.5,62.1,0
4.5,80.9,62.1,42.6,0
8.7,93.4,62.2,74.8,1
3.9,78.5,43.1,96.0,0
2.5,51.5,86.1,78.0,0
6.0,96.5,65.0,40.0,1
9.4,84.5,89.3,58.1,1
7.3,83.8,91.0,70.8,1
6.1,60.8,52.7,61.2,0
1.9,82.9,79.4,89.2,1
6.5,69.7,68.3,88.0,1
9.9,82.6,92.8,74.8,1
2.3,55.3,52.9,59.3,0
5.7,82.9,80.7,51.6,1
8.9,100.0,76.5,41.9,1
7.7,52.4,57.7,58.1,0
7.3,98.9,48.2,61.9,0
7.3,70.3,79.1,78.9,1
4.2,93.5,84.3,77.8,1
3.6,89.1,58.9,39.6,0
8.3,78.4,78.7,60.7,1
8.3,86.9,63.7,46.8,1
8.8,93.9,82.8,45.2,1
9.2,70.2,52.0,88.8,1
5.6,66.4,93.4,37.7,0
5.5,83.4,57.2,62.2,0
8.2,90.4,62.1,45.9,0
6.8,88.1,43.5,92.2,0
7.3,89.9,46.7,71.2,1
8.2,71.8,71.0,50.0,1
9.0,90.9,56.1,67.7,1
4.0,56.0,90.1,82.5,1
4.4,77.2,40.9,97.3,0
1.8,50.3,62.7,49.3,0
6.2,66.2,60.2,92.6,0
1.3,68.3,41.2,95.7,0
5.2,69.8,47.5,94.6,0
5.9,84.8,64.8,76.3,1
3.6,69.4,69.6,75.9,0
6.3,72.4,64.3,61.2,0
1.3,61.9,71.9,83.9,0
1.3,68.7,75.7,69.5,0
8.4,61.4,40.6,79.0,1
4.2,53.7,67.8,62.8,0
2.1,80.2,97.8,82.5,1
5.7,83.4,71.1,88.6,0
7.9,81.0,80.7,44.5,1
2.9,73.2,58.7,89.1,0
6.6,69.0,86.4,70.1,1
1.8,93.2,86.4,89.9,1
1.5,76.0,71.3,63.0,0
5.8,74.0,98.6,59.6,1
5.9,51.3,47.5,94.5,0
6.7,67.1,41.0,51.3,0
7.5,69.0,86.2,89.9,1
9.8,69.9,88.4,66.5,1
5.6,79.0,47.2,68.4,1
3.9,76.7,55.9,55.1,0
8.2,80.4,41.1,72.2,1
3.4,88.2,57.6,56.1,0
5.0,90.6,86.4,37.6,0
1.7,85.9,71.1,52.7,0
1.2,97.8,60.9,35.4,0
9.7,50.9,62.3,98.6,1
8.5,59.8,40.1,97.8,1
7.3,50.4,58.0,60.7,0
4.7,82.4,78.8,82.3,1
2.6,94.9,98.5,57.5,1
2.4,62.2,90.8,78.6,0
3.3,96.4,41.4,87.4,1
5.9,53.0,93.9,96.5,1
7.4,96.7,87.0,61.0,1
6.9,67.6,86.8,85.9,1
3.5,55.1,67.5,52.3,0
9.6,74.3,63.9,99.4,1
7.6,62.8,58.2,36.7,0
6.0,64.2,43.9,74.2,1
6.5,65.4,53.7,77.9,0
4.8,90.2,54.8,79.7,0
3.2,77.0,69.0,42.8,0
4.2,65.6,84.8,96.0,0
7.8,80.5,68.4,46.8,0
1.1,85.8,43.5,75.5,0
2.0,63.6,97.5,49.5,0
1.4,70.7,96.6,55.0,0
1.4,56.1,87.1,70.5,0
8.7,59.1,99.5,62.1,1
7.3,84.1,72.7,45.4,0
5.3,59.1,97.8,46.1,0
1.9,76.3,44.5,62.2,0
5.4,85.5,61.9,84.2,0
5.3,55.3,53.5,93.4,1
2.6,78.4,51.7,40.5,0
4.9,62.8,48.4,60.6,0
4.6,98.1,77.3,41.5,1
6.5,74.2,86.9,36.1,1
6.7,90.3,74.7,78.0,1
1.4,77.5,48.8,74.2,0
4.4,52.2,88.7,45.6,0
6.6,81.7,78.2,50.2,1
5.5,97.6,63.3,36.5,1
8.7,80.1,80.4,89.3,1
6.9,91.0,55.6,98.4,1
2.5,94.2,60.7,43.8,0
1.6,61.4,95.0,50.0,0
6.8,60.6,57.4,91.4,1
1.2,80.5,68.2,95.2,0
6.3,70.6,93.4,62.3,0
9.5,92.0,82.5,38.3,1
6.2,95.0,43.7,37.6,0
4.5,67.7,48.8,72.3,0
6.8,61.8,40.5,60.5,0
5.1,89.0,77.9,36.9,0
5.9,63.7,66.9,72.9,1
9.5,91.1,48.1,35.7,1
4.5,71.2,97.5,86.2,0
9.7,83.4,71.8,54.9,1
9.1,54.8,54.5,37.6,0
2.8,81.2,70.0,73.2,0
1.6,72.6,80.8,60.8,0
1.9,79.3,44.6,98.3,0
1.2,58.4,56.5,70.4,0
1.8,86.8,88.4,52.9,0
7.1,93.1,67.6,81.1,1
1.6,60.8,72.8,52.6,0
3.9,54.8,66.0,93.8,0
8.6,51.2,42.6,59.4,0
1.2,82.1,49.9,70.7,0
8.3,80.4,66.7,38.3,0
3.5,77.3,52.6,62.7,0
2.1,61.6,43.0,89.1,0
7.3,69.5,90.6,87.4,1
6.7,79.7,98.9,49.6,0
8.9,74.8,87.6,49.7,1
7.6,99.4,91.2,88.1,1
8.2,56.8,54.5,95.5,0
3.5,84.8,97.6,41.2,0
2.6,70.2,51.8,64.3,0
7.8,71.4,97.1,56.9,1
8.3,85.9,99.7,91.6,1
9.9,84.6,82.7,40.4,1
4.7,99.6,98.9,48.7,1
4.3,56.4,74.2,83.9,0
8.0,55.2,55.6,38.3,0
4.1,86.2,66.2,67.0,0
9.4,78.9,75.6,63.7,1
8.7,63.7,44.4,56.7,0
4.9,54.0,77.3,60.6,0
7.8,54.3,98.9,69.4,1
7.8,94.7,51.4,45.5,0
1.9,59.6,87.6,72.2,0
9.1,66.2,94.5,87.4,1
5.5,61.3,96.6,84.4,1
8.4,67.7,97.6,45.0,1
3.9,53.5,71.3,44.7,0
9.1,76.0,98.6,52.4,0
4.5,53.4,85.4,58.5,0
1.1,90.0,49.7,61.5,0
9.1,61.7,68.6,79.2,1
1.8,77.0,83.1,38.7,0
3.9,94.0,54.8,37.3,0
9.6,82.5,78.4,60.5,1
9.6,76.6,80.0,80.3,1
6.2,66.2,49.8,47.6,0
6.7,66.7,73.9,76.7,0
5.0,83.5,86.3,51.9,0
3.6,99.7,69.9,92.6,1
4.0,83.1,40.7,93.2,0
7.1,77.9,40.5,54.3,0
7.8,86.5,61.4,49.9,0
8.1,73.3,95.6,61.7,1
8.1,53.0,53.7,50.6,0
1.8,78.1,78.1,78.7,0
5.4,97.9,53.3,88.7,0
1.5,58.8,59.3,78.8,0
5.9,84.5,90.9,88.6,0
5.0,60.0,83.7,60.8,0
9.0,76.8,45.7,45.2,1
4.2,54.8,65.7,83.0,1
2.1,72.5,41.8,58.4,0
2.3,87.8,68.9,78.6,0
7.9,67.4,79.7,52.6,0
6.6,83.2,47.1,40.3,0
1.9,89.8,57.3,99.5,1
1.8,96.4,63.9,45.2,0
7.3,61.7,95.2,99.2,1
1.7,70.0,99.6,98.5,0
8.4,57.6,42.7,86.6,1
7.4,99.6,85.7,77.9,1
1.7,96.4,62.3,72.6,0
1.8,77.0,63.5,91.3,0
9.9,92.1,85.3,53.8,1
4.4,76.0,95.1,65.4,0
4.3,81.2,97.1,75.3,1
8.3,54.5,74.6,61.7,0
9.5,87.8,61.4,62.8,1
9.9,56.4,87.3,56.5,0
7.8,91.3,55.1,71.7,0
4.4,89.1,73.8,90.3,1
1.8,85.4,61.5,48.1,0
8.0,51.8,79.4,95.7,1
6.0,65.2,54.4,79.8,0
4.8,63.2,51.5,88.5,0
9.2,68.0,95.1,71.2,1
2.0,54.4,46.1,85.7,0
5.4,96.8,70.4,36.1,1
1.1,77.7,53.3,88.2,0
5.2,65.3,42.3,37.6,0
1.5,69.8,42.2,92.8,0
2.1,72.4,50.5,99.5,1
2.1,80.0,92.0,54.1,0
6.8,75.8,56.9,48.7,0
7.7,96.0,97.0,84.7,1
6.3,74.8,74.9,51.4,1
9.7,99.6,66.2,91.3,1
4.4,92.6,74.8,41.7,0
3.6,60.4,71.0,43.2,0
8.8,96.5,85.5,98.6,1
3.0,55.8,56.9,78.8,0
9.7,90.9,61.2,90.0,1
1.1,69.0,93.6,56.1,0
9.7,93.9,96.8,79.0,1
1.4,93.4,93.6,73.6,1
9.0,90.3,65.2,74.2,1
5.7,89.5,86.8,79.4,1
9.9,65.2,68.6,72.4,1
1.7,54.0,69.9,62.9,0
6.0,70.1,52.3,52.9,0
9.7,58.7,75.5,85.0,1
5.7,84.7,51.2,49.7,0
6.7,67.3,59.9,80.0,0
7.3,98.8,91.3,50.2,1
5.1,82.0,52.4,75.6,0
6.6,91.1,44.3,83.6,0
6.3,56.6,44.1,49.2,0
9.1,93.1,96.4,38.9,1
1.4,96.1,70.4,43.5,0
3.5,74.4,64.6,74.4,0
9.6,80.3,88.7,90.2,1
9.0,88.2,90.1,37.9,1
5.1,58.7,59.9,82.7,0
6.6,75.1,81.6,57.2,1
3.5,69.9,86.3,66.1,1
2.7,57.3,79.3,95.4,0
5.2,68.4,49.1,56.6,0
4.2,53.4,92.6,65.2,1
6.3,51.3,72.3,35.9,0
1.7,56.8,56.9,40.3,0
9.8,98.2,65.5,51.8,1
9.9,77.5,42.3,36.8,1
7.3,98.3,47.7,76.0,1
5.8,71.6,85.9,62.7,1
3.8,65.6,40.0,70.6,0
8.3,75.3,65.0,46.4,0
7.2,72.0,71.4,54.2,0
2.5,55.3,43.3,78.1,0
9.2,82.0,98.4,97.7,1
8.4,60.8,53.6,38.3,0
9.5,81.0,58.3,92.9,1
7.5,82.5,58.2,72.5,1
6.5,57.6,53.8,71.7,0
4.8,53.1,40.1,67.5,0
9.4,89.0,83.8,39.5,1
8.8,73.0,98.0,40.8,0
1.4,52.9,53.5,74.1,0
1.2,99.7,79.8,57.2,0
4.4,52.9,84.5,94.6,0
8.3,84.8,90.9,61.4,1
9.9,99.2,65.4,44.3,1
2.4,62.0,58.2,81.5,0
6.3,57.1,59.5,54.1,0
4.4,56.1,82.8,69.2,0
9.7,65.2,89.0,80.4,1
8.6,55.1,50.9,93.5,0
8.5,84.6,62.3,86.5,1
5.2,53.1,94.1,79.0,1
4.7,75.5,88.4,79.2,1
3.5,99.8,99.1,96.5,1
1.5,90.7,85.3,54.2,0
8.8,80.8,63.6,35.1,1
8.3,65.3,75.4,52.7,1
10.0,81.2,79.7,49.2,1
10.0,76.4,44.7,78.0,1
6.0,71.3,72.7,76.2,1
7.9,56.5,82.6,73.6,1
9.5,94.3,50.0,36.1,0
8.6,72.5,86.8,82.4,1
3.2,59.7,75.0,56.0,0
5.1,68.4,97.1,78.2,1
2.2,70.7,42.5,71.2,0
9.6,91.4,55.9,57.3,1
6.5,86.7,76.1,43.7,0
3.1,88.5,57.8,41.1,0
7.0,50.6,82.9,89.0,0
6.6,70.8,85.5,94.7,1
4.2,74.1,46.2,77.2,0
2.0,51.0,70.8,41.7,0
7.0,63.0,70.5,61.1,0
5.7,88.0,62.2,82.4,0
8.0,56.9,96.0,85.7,1
5.7,76.8,89.7,42.7,0
8.7,60.8,81.8,35.0,0
6.0,50.6,82.9,81.3,1
6.0,62.1,67.7,58.2,0
8.9,98.8,95.3,51.5,1
4.6,90.1,81.7,35.8,1
2.2,98.0,83.7,70.1,0
1.3,74.4,91.7,90.3,0
7.8,55.5,56.4,97.2,1
6.6,77.4,88.4,71.8,0
7.3,72.7,51.7,68.4,0
2.9,92.2,60.7,40.5,0
2.2,54.9,60.1,70.7,0
1.1,74.4,98.7,59.7,0
4.2,57.5,91.4,74.5,0
6.3,66.2,82.1,60.3,0
4.5,86.9,83.6,50.6,1
4.9,73.8,73.7,41.2,0
9.1,68.8,96.8,55.5,1
4.1,69.7,69.8,41.3,0
5.6,73.0,62.8,46.5,0
8.1,89.3,49.8,99.2,1
4.6,94.6,87.2,63.9,1
6.6,97.8,84.1,69.6,1
8.8,89.3,63.1,91.8,1
9.5,65.8,41.5,99.7,1
2.3,84.4,90.3,72.9,0
9.3,71.9,40.7,87.8,1
5.4,62.7,82.2,56.3,0
3.3,92.0,98.2,54.9,1
5.1,51.9,66.3,61.2,0
9.8,95.1,54.1,78.7,1
5.4,73.1,82.3,79.3,0
4.0,81.9,89.0,55.5,0
6.7,83.0,72.8,43.7,0
3.2,94.8,98.0,76.1,1
1.7,81.8,43.1,43.3,0
2.2,80.7,70.3,72.6,0
2.2,53.3,83.1,80.1,0
2.4,75.9,91.8,80.5,1
2.2,57.5,50.8,84.0,0
6.8,86.9,88.0,91.7,1
2.6,75.6,73.2,67.5,0
4.1,84.0,63.8,82.5,0
9.1,52.1,47.9,75.2,0
5.3,54.2,91.9,47.1,0
7.0,85.8,49.4,36.7,0
2.6,53.6,58.6,53.5,0
2.7,53.6,57.4,63.8,0
1.4,50.6,92.3,75.1,0
2.5,97.8,80.4,90.2,1
3.5,86.9,87.8,47.8,0
2.6,67.7,55.0,43.2,0
1.8,64.8,77.5,97.6,0
2.1,67.5,74.3,42.0,0
5.1,88.7,90.0,66.1,1
2.9,83.1,94.4,73.1,1
4.3,59.3,40.7,70.2,0
5.5,58.7,80.4,40.6,0
7.2,54.9,43.1,38.7,0
1.4,83.0,72.9,41.9,0
8.2,88.2,57.3,73.1,1
6.7,63.3,58.4,70.4,1
1.7,51.0,61.2,50.2,0
8.9,54.1,77.3,76.5,1
9.3,98.4,60.0,88.3,1
1.5,64.8,84.0,37.7,0
3.5,88.5,64.3,67.4,1
8.3,81.2,44.1,79.8,1
7.7,69.1,87.0,51.4,1
2.7,60.3,57.1,55.0,0
2.9,56.1,66.0,74.9,0
4.3,80.8,81.1,93.4,0
5.4,88.7,59.9,87.6,1
6.6,82.2,43.4,72.9,0
4.3,76.5,62.4,82.5,0
5.2,52.1,96.7,58.7,0
7.7,98.4,78.5,76.7,1
1.3,89.9,80.3,65.3,0
3.3,64.6,77.9,47.3,0
7.4,99.0,51.9,80.6,1
9.1,80.1,65.1,71.2,0
5.6,79.1,85.1,58.3,1
5.8,87.4,46.1,94.2,0
2.0,90.6,56.7,36.4,0
5.0,82.8,56.6,55.5,0
5.8,56.4,65.9,38.7,0
3.2,66.9,98.8,84.8,0
3.4,96.4,44.1,80.6,0
4.4,61.2,71.1,56.5,0
1.2,68.6,50.8,78.9,0
3.9,71.6,98.2,60.7,0
2.9,72.0,46.8,84.2,0
3.9,80.6,64.2,64.5,0
2.1,97.2,84.3,61.8,0
9.0,62.0,82.3,95.8,1
6.3,56.1,65.4,51.3,0
7.1,59.9,60.8,42.8,0
8.1,94.3,63.9,73.0,1
5.5,82.3,55.9,98.0,1
1.8,64.3,52.3,59.6,0
5.8,90.8,69.0,39.0,1
6.3,93.1,56.1,57.1,0
7.7,92.3,57.2,67.9,1
4.9,95.9,79.4,45.5,1
2.1,62.6,98.1,77.8,0
3.6,87.8,76.2,99.9,0
4.3,73.0,44.6,64.4,0
6.8,92.1,44.5,58.1,0
6.1,86.4,97.1,61.0,1
4.2,88.8,57.8,42.5,0
9.9,82.8,45.5,92.4,1
6.5,58.9,75.9,62.0,0
3.1,77.3,77.4,60.2,0
1.9,99.2,78.9,77.9,1
2.4,96.9,56.0,63.7,0
3.2,52.2,40.9,77.1,0
2.4,58.2,97.9,39.0,0
2.7,56.6,55.1,87.9,0
3.6,86.3,80.6,96.1,0
2.6,90.9,82.4,77.2,0
9.1,60.7,76.6,97.0,1
1.7,75.3,58.8,44.8,0
5.7,92.0,56.3,66.0,1
4.7,86.6,75.9,74.1,1
9.8,77.1,92.0,72.8,1
2.0,79.5,96.8,61.1,0
4.6,75.4,46.4,57.0,0
9.7,64.9,49.3,43.2,1
8.8,78.3,96.7,60.5,1
8.4,84.4,84.2,45.6,1
3.3,93.7,93.0,82.7,1
2.5,81.8,52.2,48.6,0
7.0,88.1,75.3,38.8,1
9.4,58.0,82.1,70.9,1
6.0,73.1,80.8,73.7,1
6.1,50.5,64.5,91.7,1
3.5,62.3,40.9,72.5,0
7.9,86.3,75.0,57.5,1
2.7,99.6,55.2,87.2,1
3.9,55.0,67.0,70.1,0
4.8,70.1,97.5,40.2,1
5.6,90.0,63.9,71.8,0
3.2,60.2,90.4,94.0,1
2.0,77.8,51.3,60.8,0
6.5,86.7,80.3,54.3,1
3.6,80.8,98.6,44.3,0
6.2,59.4,46.1,44.8,0
2.4,67.8,40.5,63.1,0
5.3,89.2,66.0,73.7,0
5.8,77.7,45.6,40.2,0
1.5,50.3,84.9,96.1,0
4.0,88.0,94.9,84.1,1
2.2,51.8,66.0,73.1,0
1.6,87.3,55.5,88.8,0
9.9,60.1,66.1,40.2,0
3.9,97.9,83.4,66.0,1
8.3,68.4,40.5,76.0,1
3.3,66.3,75.4,88.9,0
7.1,57.4,76.8,85.9,1
7.8,65.3,78.3,53.0,0
6.4,93.8,54.5,96.2,0
5.2,99.8,82.8,43.1,0
4.7,68.4,45.5,91.9,0
4.1,72.4,52.0,98.1,0
9.4,86.1,92.6,46.5,1
8.5,94.3,84.3,81.9,1
9.7,79.7,40.8,37.6,1
2.1,69.6,54.9,61.4,0
7.6,70.6,52.9,68.6,1
9.4,84.8,56.2,72.7,1
2.6,50.2,54.9,95.8,0
1.6,81.0,43.8,78.7,0
7.7,67.8,67.5,66.3,1
6.2,89.7,84.0,87.6,1
8.6,54.6,76.4,96.8,1
2.3,79.4,80.4,36.4,0
8.2,74.0,44.9,98.9,0
2.8,82.1,97.1,40.6,0
2.5,53.2,90.3,87.9,0
2.5,79.0,88.3,53.2,0
8.3,78.1,89.4,43.6,1
7.0,78.0,96.0,63.6,1
5.7,80.2,72.7,76.9,1
4.2,83.8,52.0,59.8,0
8.9,90.2,77.0,38.5,1
4.5,63.5,84.6,74.0,1
8.3,91.3,84.3,93.7,1
5.0,74.9,71.3,59.9,0
4.4,53.9,44.1,49.1,0
5.2,52.9,62.3,63.8,0
3.7,66.7,95.2,38.1,0
7.7,89.2,75.1,88.3,1
5.5,85.4,72.3,88.7,1
3.1,89.4,56.1,73.2,0
9.1,75.9,62.1,58.0,0
4.5,72.0,93.7,87.0,1
5.9,57.4,80.0,71.1,0
9.2,66.4,87.2,88.7,1
6.6,71.7,67.3,76.0,0
2.1,54.4,77.8,86.0,0
9.5,61.0,54.9,73.9,1
6.6,79.9,82.3,61.9,0
4.0,86.8,65.7,97.3,1
2.3,99.9,66.6,70.2,0
8.1,96.7,79.0,74.3,1
6.6,82.1,96.2,49.3,1
5.8,71.1,43.8,75.7,0
9.0,81.8,89.5,72.2,1
8.1,89.3,57.5,47.0,1
2.4,55.9,66.6,38.9,0
3.8,70.5,41.3,74.3,0
3.2,92.0,58.1,84.6,1
7.7,69.2,70.2,69.0,1
1.3,78.6,43.4,49.7,0
6.1,79.4,69.5,78.3,0
7.9,59.2,95.6,40.2,1
8.9,68.1,46.3,63.7,0
4.1,66.7,85.9,45.6,0
8.4,51.3,64.6,47.0,0
2.0,51.2,79.3,48.1,0
8.6,91.6,55.6,60.1,1
2.1,63.7,49.6,38.3,0
4.6,75.9,49.6,60.9,1
